Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Wheat,Bakergonj,150,70,19.64583333,1970
Wheat,Bogra,5690,2720,2.5,1970
Wheat,Chittagonj,45,15,43,1970
Wheat,Chittagonj  H.T,5,2,43,1970
Wheat,Comilla,16505,8575,25.75,1970
Wheat,Dhaka,15700,5540,14,1970
Wheat,Dinajpur,6730,2695,10.5,1970
Wheat,Faridpur,76150,21510,14.75,1970
Wheat,Jessore,16490,5825,17.75,1970
Wheat,Khulna,585,190,3.25,1970
Wheat,Kishoregonj,1340,530,19.64583333,1970
Wheat,Kustia,38880,14245,19.64583333,1970
Wheat,Mymensingh,6060,1700,7.75,1970
Wheat,Noakhali,710,185,19.64583,1970
Wheat,Pabna,61315,21900,19.64583,1970
Wheat,Patuakhali,35,12,19.64583,1970
Wheat,Rajshahi,39150,14030,19.64583,1970
Wheat,Rangpur,15800,6075,10,1970
Wheat,Sylhet,355,140,43.5,1970
Wheat,Tangail,9640,3920,19.64583,1970
Wheat,Bakergonj,370,180,14.63461538,1971
Wheat,Bogra,6210,3370,14.5,1971
Wheat,Chittagonj,5,2,2.5,1971
Wheat,Chittagonj  H.T,5,2,2.5,1971
Wheat,Comilla,19710,10420,18,1971
Wheat,Dhaka,15650,5265,31.5,1971
Wheat,Dinajpur,2025,610,4.75,1971
Wheat,Faridpur,73635,22415,21.75,1971
Wheat,Jessore,16875,5325,4,1971
Wheat,Khulna,775,275,1.5,1971
Wheat,Kishoregonj,1370,545,14.63462,1971
Wheat,Kustia,43455,15995,14.63462,1971
Wheat,Mymensingh,6995,1650,14.5,1971
Wheat,Noakhali,730,180,14.63462,1971
Wheat,Pabna,60280,22550,14.63462,1971
Wheat,Patuakhali,20,5,14.63462,1971
Wheat,Rajshahi,44135,16125,30.5,1971
Wheat,Rangpur,15390,5920,15.75,1971
Wheat,Sylhet,555,206,28.5,1971
Wheat,Tangail,6270,2155,14.63462,1971
Wheat,Bakergonj,205,79,4.692307778,1972
Wheat,Bogra,7010,3410,4.75,1972
Wheat,Chittagonj,7,2,0.5,1972
Wheat,Chittagonj  H.T,5,2,0.5,1972
Wheat,Comilla,25650,12094,0.25,1972
Wheat,Dhaka,14650,4832,2.75,1972
Wheat,Dinajpur,8480,2819,0,1972
Wheat,Faridpur,49935,9692,17.5,1972
Wheat,Jessore,10095,3040,1.25,1972
Wheat,Khulna,380,95,0,1972
Wheat,Kishoregonj,1415,442,4.692308,1972
Wheat,Kustia,41515,7507,4.692308,1972
Wheat,Mymensingh,6490,1495,5,1972
Wheat,Noakhali,465,111,4.692308,1972
Wheat,Pabna,61700,22881,4.692308,1972
Wheat,Patuakhali,12,3,4.692308,1972
Wheat,Rajshahi,46830,13331,5.75,1972
Wheat,Rangpur,14800,5421,11.75,1972
Wheat,Sylhet,565,209,11,1972
Wheat,Tangail,6645,2061,4.692308,1972
Wheat,Bakergonj,160,47,36.75,1973
Wheat,Bogra,7375,3633,32.25,1973
Wheat,Chittagonj,0,0,78,1973
Wheat,Chittagonj  H.T,0,0,78,1973
Wheat,Comilla,28465,15139,50,1973
Wheat,Dhaka,13550,4248,42.75,1973
Wheat,Dinajpur,15390,5501,36.75,1973
Wheat,Faridpur,42750,11572,28.25,1973
Wheat,Jessore,10905,3439,38,1973
Wheat,Khulna,330,81,1,1973
Wheat,Kishoregonj,1420,387,36.75,1973
Wheat,Kustia,42600,19278,36.75,1973
Wheat,Mymensingh,7405,1632,9.75,1973
Wheat,Noakhali,365,96,36.75,1973
Wheat,Pabna,62580,22866,36.75,1973
Wheat,Patuakhali,0,0,62.25,1973
Wheat,Rajshahi,48500,13215,13,1973
Wheat,Rangpur,14940,5587,7.75,1973
Wheat,Sylhet,655,244,36.75,1973
Wheat,Tangail,7625,2214,36.75,1973
Wheat,Barisal,165,48,5,1974
Wheat,Bogra,8080,3862,0.75,1974
Wheat,Chittagonj,0,0,17.5,1974
Wheat,Chittagonj  H.T,0,0,17.5,1974
Wheat,Comilla,38965,19075,16.25,1974
Wheat,Dhaka,13850,4080,3.642857143,1974
Wheat,Dinajpur,9455,3058,3.64,1974
Wheat,Faridpur,45275,13010,0.25,1974
Wheat,Jamalpur,0,0,3.64,1974
Wheat,Jessore,12165,4112,2.25,1974
Wheat,Khulna,804,240,0.25,1974
Wheat,Kishoregonj,970,277,3.64,1974
Wheat,Kustia,34320,9396,3.64,1974
Wheat,Mymensingh,7960,1604,0,1974
Wheat,Noakhali,525,147,20.75,1974
Wheat,Pabna,63845,23513,3.64,1974
Wheat,Patuakhali,0,0,3.64,1974
Wheat,Rajshahi,52400,14656,0,1974
Wheat,Rangpur,15100,5648,3.64,1974
Wheat,Sylhet,620,214,2,1974
Wheat,Tangail,6940,1930,3.64,1974
Wheat,Barisal,500,211,11.25,1975
Wheat,Bogra,14780,9771,2.75,1975
Wheat,Chittagonj,230,149,37.5,1975
Wheat,Chittagonj  H.T,0,0,37.5,1975
Wheat,Comilla,55500,38640,42.75,1975
Wheat,Dhaka,12980,5367,13.75,1975
Wheat,Dinajpur,22700,15484,0,1975
Wheat,Faridpur,33880,11789,9.25,1975
Wheat,Jamalpur,0,0,0,1975
Wheat,Jessore,21092,16014,3.5,1975
Wheat,Khulna,1384,888,3.5,1975
Wheat,Kishoregonj,6000,3380,3.5,1975
Wheat,Kustia,39300,39008,3.5,1975
Wheat,Mymensingh,8465,4948,0,1975
Wheat,Noakhali,5430,3192,52.5,1975
Wheat,Pabna,59000,27132,3.5,1975
Wheat,Patuakhali,0,0,25.25,1975
Wheat,Rajshahi,61100,25110,3.75,1975
Wheat,Rangpur,14265,7029,2,1975
Wheat,Sylhet,2000,691,30.75,1975
Wheat,Tangail,12300,5925,3.5,1975
Wheat,Barisal,105,54,17,1976
Wheat,Bogra,22610,19813,3.75,1976
Wheat,Chittagonj,570,267,66.75,1976
Wheat,Chittagonj  H.T,40,30,66.75,1976
Wheat,Comilla,66895,50578,5,1976
Wheat,Dhaka,19220,10734,3.75,1976
Wheat,Dinajpur,17900,12270,0,1976
Wheat,Faridpur,33475,12055,4.5,1976
Wheat,Jamalpur,0,0,14.75,1976
Wheat,Jessore,25610,20111,14.75,1976
Wheat,Khulna,2245,1917,14.75,1976
Wheat,Kishoregonj,6925,5359,14.75,1976
Wheat,Kustia,51900,38488,14.75,1976
Wheat,Mymensingh,8355,5330,2,1976
Wheat,Noakhali,1800,992,14,1976
Wheat,Pabna,42000,29059,14.75,1976
Wheat,Patuakhali,0,0,6,1976
Wheat,Rajshahi,60925,27669,2.75,1976
Wheat,Rangpur,14000,6960,0.25,1976
Wheat,Sylhet,5270,2084,14,1976
Wheat,Tangail,15635,11588,14.75,1976
Wheat,Barisal,15960,14204,24.5,1977
Wheat,Bogra,0,0,24,1977
Wheat,Chittagonj  H.T,65,36,26.5,1977
Wheat,Comilla,85,52,26.5,1977
Wheat,Dhaka,6000,2131,29.5,1977
Wheat,Dinajpur,31085,27802,25,1977
Wheat,Faridpur,22300,14082,8.5,1977
Wheat,Jamalpur,46495,24560,23.01666667,1977
Wheat,Jessore,190,107,24,1977
Wheat,Khulna,34940,23379,8,1977
Wheat,Kishoregonj,0,0,23.01,1977
Wheat,Kustia,4270,4286,23.01,1977
Wheat,Mymensingh,5455,4910,46.5,1977
Wheat,Noakhali,63455,47438,37.25,1977
Wheat,Pabna,31130,25097,23.01,1977
Wheat,Patuakhali,60960,64195,16.25,1977
Wheat,Rajshahi,48000,34932,16.5,1977
Wheat,Rangpur,59600,32505,3,1977
Wheat,Sylhet,560,210,29.25,1977
Wheat,Tangail,10335,6864,23.01,1977
Wheat,Barisal,105,54,0.75,1978
Wheat,Bogra,22610,19813,0.5,1978
Wheat,Chittagonj,570,267,0,1978
Wheat,Chittagonj  H.T,40,30,0,1978
Wheat,Comilla,66895,50578,4.461538462,1978
Wheat,Dhaka,19220,10734,5,1978
Wheat,Dinajpur,17900,12270,4.46,1978
Wheat,Faridpur,33475,12055,3.25,1978
Wheat,Jamalpur,0,0,4.46,1978
Wheat,Jessore,25610,20111,4.46,1978
Wheat,Khulna,2245,1917,0.75,1978
Wheat,Kishoregonj,6925,5359,4.46,1978
Wheat,Kustia,51900,38488,4.46,1978
Wheat,Mymensingh,8355,5330,0,1978
Wheat,Noakhali,1800,992,2,1978
Wheat,Pabna,42000,29059,4.46,1978
Wheat,Patuakhali,0,0,25.75,1978
Wheat,Rajshahi,60925,27669,17.75,1978
Wheat,Rangpur,14000,6960,1.75,1978
Wheat,Sylhet,5270,2084,0.5,1978
Wheat,Tangail,15635,11588,4.46,1978
Wheat,Barisal,190,107,23.25,1979
Wheat,Bogra,31085,27802,16.25,1979
Wheat,Chittagonj,65,36,22.75,1979
Wheat,Chittagonj  H.T,85,52,22.75,1979
Wheat,Comilla,63455,47438,13.25,1979
Wheat,Dhaka,22300,14082,30.5,1979
Wheat,Dinajpur,31130,25097,20.85,1979
Wheat,Faridpur,46495,24560,27.25,1979
Wheat,Jamalpur,0,0,20.85,1979
Wheat,Jessore,34940,23379,33.25,1979
Wheat,Khulna,4270,4286,17.25,1979
Wheat,Kishoregonj,5455,4910,20.85,1979
Wheat,Kustia,60960,64195,20.85,1979
Wheat,Mymensingh,10335,6864,7.75,1979
Wheat,Noakhali,560,210,19.25,1979
Wheat,Pabna,48000,34932,20.85,1979
Wheat,Patuakhali,0,0,23.5,1979
Wheat,Rajshahi,59600,32505,29.5,1979
Wheat,Rangpur,25985,15712,14.75,1979
Wheat,Sylhet,6000,2131,11.5,1979
Wheat,Tangail,15960,14204,20.85,1979
Wheat,Bandarban,0,0,13.46,1980
Wheat,Barisal,5125,2785,13.75,1980
Wheat,Bogra,76945,58525,3,1980
Wheat,Chittagonj,585,380,7,1980
Wheat,Comilla,194990,121005,10.75,1980
Wheat,Dhaka,48810,31320,8.75,1980
Wheat,Dinajpur,202835,46235,13.46,1980
Wheat,Faridpur,63970,49940,31,1980
Wheat,Jamalpur,10660,8400,13.46,1980
Wheat,Jessore,118310,66740,17,1980
Wheat,Khagrachari,0,0,13.46,1980
Wheat,Khulna,11330,8190,25.5,1980
Wheat,Kishoregonj,21890,12305,13.46,1980
Wheat,Kustia,135810,115800,13.46,1980
Wheat,Mymensingh,8585,8170,13.46,1980
Wheat,Noakhali,2690,1470,14,1980
Wheat,Pabna,103645,82295,13.46,1980
Wheat,Patuakhali,175,90,13.46,1980
Wheat,Rajshahi,140780,117060,10.25,1980
Wheat,Rangamati,420,245,21.5,1980
Wheat,Rangpur,248840,195730,4.25,1980
Wheat,Sylhet,12120,7760,8.25,1980
Wheat,Tangail,52395,40810,13.46,1980
Wheat,Bandarban,0,0,26.92,1981
Wheat,Barisal,5410,2805,25,1981
Wheat,Bogra,65735,47500,33.5,1981
Wheat,Chittagonj,590,275,4.5,1981
Wheat,Comilla,187015,118720,14,1981
Wheat,Dhaka,56805,37560,24,1981
Wheat,Dinajpur,183240,128845,30.75,1981
Wheat,Faridpur,94215,75170,40,1981
Wheat,Jamalpur,13785,10380,12.5,1981
Wheat,Jessore,116025,73990,66,1981
Wheat,Khagrachari,0,0,26.92,1981
Wheat,Khulna,16535,13080,32.5,1981
Wheat,Kishoregonj,26070,11245,26.92,1981
Wheat,Kustia,133150,106675,26.92,1981
Wheat,Mymensingh,10830,10440,34.75,1981
Wheat,Noakhali,2050,830,26.92,1981
Wheat,Pabna,87880,73785,26.92,1981
Wheat,Patuakhali,85,35,13,1981
Wheat,Rajshahi,99910,71160,53.5,1981
Wheat,Rangamati,30,10,6,1981
Wheat,Rangpur,165005,125380,19.25,1981
Wheat,Sylhet,10255,8130,21.5,1981
Wheat,Tangail,45115,36095,26.92,1981
Wheat,Bandarban,0,0,12.93,1982
Wheat,Barisal,7305,4435,25.5,1982
Wheat,Bogra,62870,51345,4,1982
Wheat,Chittagonj,495,230,12.75,1982
Wheat,Comilla,157700,107585,11,1982
Wheat,Dhaka,59690,46420,16.5,1982
Wheat,Dinajpur,140465,111175,7.75,1982
Wheat,Faridpur,98200,92625,35,1982
Wheat,Jamalpur,19330,17065,12.93,1982
Wheat,Jessore,77490,55445,6.5,1982
Wheat,Khagrachari,0,0,12.93,1982
Wheat,Khulna,5935,5030,11.75,1982
Wheat,Kishoregonj,24320,14240,12.93,1982
Wheat,Kustia,115940,130030,12.93,1982
Wheat,Mymensingh,15525,17345,2.5,1982
Wheat,Noakhali,2600,1355,13.25,1982
Wheat,Pabna,101095,97570,12.93,1982
Wheat,Patuakhali,300,160,13,1982
Wheat,Rajshahi,142080,107575,17.75,1982
Wheat,Rangamati,0,0,19.5,1982
Wheat,Rangpur,193830,167230,2.25,1982
Wheat,Sylhet,15675,13630,8,1982
Wheat,Tangail,42525,37550,12.93,1982
Wheat,Bandarban,15,5,23.59,1983
Wheat,Barisal,4590,1755,28.5,1983
Wheat,Bogra,62370,60700,10.25,1983
Wheat,Chittagonj,450,195,39.5,1983
Wheat,Comilla,157010,141380,18,1983
Wheat,Dhaka,59945,49680,23.25,1983
Wheat,Dinajpur,166010,140875,10.75,1983
Wheat,Faridpur,100360,98880,18.5,1983
Wheat,Jamalpur,34525,30115,23.59,1983
Wheat,Jessore,60645,58400,38,1983
Wheat,Khagrachari,10,5,23.59,1983
Wheat,Khulna,4800,4635,30.25,1983
Wheat,Kishoregonj,20160,19635,23.59,1983
Wheat,Kustia,131030,129845,23.59,1983
Wheat,Mymensingh,19190,19900,5.75,1983
Wheat,Noakhali,2205,1280,25,1983
Wheat,Pabna,108505,105690,23.59,1983
Wheat,Patuakhali,80,35,38,1983
Wheat,Rajshahi,123830,110540,6.75,1983
Wheat,Rangamati,15,5,60.5,1983
Wheat,Rangpur,195575,170840,8.5,1983
Wheat,Sylhet,9865,8700,16,1983
Wheat,Tangail,38570,39210,23.59,1983
Wheat,Bandarban,10,5,7.45,1984
Wheat,Barisal,7805,4430,4.25,1984
Wheat,Bogra,86035,79795,7.25,1984
Wheat,Chittagonj,455,210,0.75,1984
Wheat,Comilla,160000,154625,4.75,1984
Wheat,Dhaka,92890,77940,3.5,1984
Wheat,Dinajpur,155490,119185,13.25,1984
Wheat,Faridpur,144370,140215,10,1984
Wheat,Jamalpur,56380,46490,7.45,1984
Wheat,Jessore,101120,100530,13,1984
Wheat,Khagrachari,25,10,7.45,1984
Wheat,Khulna,6000,5605,9.75,1984
Wheat,Kishoregonj,23945,21445,7.45,1984
Wheat,Kustia,148590,136095,7.45,1984
Wheat,Mymensingh,28795,26340,3.25,1984
Wheat,Noakhali,6315,3040,9.25,1984
Wheat,Pabna,162845,134670,7.45,1984
Wheat,Patuakhali,130,65,3.25,1984
Wheat,Rajshahi,184055,154430,3.5,1984
Wheat,Rangamati,20,5,3.5,1984
Wheat,Rangpur,235470,196160,9.25,1984
Wheat,Sylhet,17565,15800,20.75,1984
Wheat,Tangail,52750,46540,7.45,1984
Wheat,Bandarban,10,5,11.39,1985
Wheat,Barisal,9755,6705,2.75,1985
Wheat,Bogra,65875,61130,2,1985
Wheat,Chittagonj,230,150,55.75,1985
Wheat,Comilla,159965,140195,2.25,1985
Wheat,Dhaka,98255,75475,4.75,1985
Wheat,Dinajpur,117355,88565,3,1985
Wheat,Faridpur,104955,65720,1,1985
Wheat,Jamalpur,41810,31880,11.39,1985
Wheat,Jessore,75200,58635,12.5,1985
Wheat,Khagrachari,40,35,11.39,1985
Wheat,Khulna,11680,10410,6.75,1985
Wheat,Kishoregonj,28150,20890,11.39,1985
Wheat,Kustia,107385,94290,11.39,1985
Wheat,Mymensingh,318510,22270,12.75,1985
Wheat,Noakhali,4040,2400,3.5,1985
Wheat,Pabna,133360,86500,11.39,1985
Wheat,Patuakhali,350,200,18,1985
Wheat,Rajshahi,144580,108380,6.5,1985
Wheat,Rangamati,90,40,25,1985
Wheat,Rangpur,130400,108420,13.5,1985
Wheat,Sylhet,13480,9270,12.25,1985
Wheat,Tangail,56695,49540,11.39,1985
Wheat,Bandarban,0,0,34.48,1986
Wheat,Barisal,11320,3950,70.25,1986
Wheat,Bogra,58400,49310,9.75,1986
Wheat,Chittagonj,475,265,31,1986
Wheat,Comilla,175110,141680,35.5,1986
Wheat,Dhaka,94205,51555,49.25,1986
Wheat,Dinajpur,140115,114780,9.25,1986
Wheat,Faridpur,109715,62945,38.5,1986
Wheat,Jamalpur,54685,39720,34.48,1986
Wheat,Jessore,88160,70795,43.5,1986
Wheat,Khagrachari,25,10,34.48,1986
Wheat,Khulna,11675,9630,40.25,1986
Wheat,Kishoregonj,30845,19800,34.48,1986
Wheat,Kustia,108675,73190,34.48,1986
Wheat,Mymensingh,29835,21370,26,1986
Wheat,Noakhali,3800,2120,33.25,1986
Wheat,Pabna,125440,96045,34.48,1986
Wheat,Patuakhali,200,80,74,1986
Wheat,Rajshahi,130220,109760,11.5,1986
Wheat,Rangamati,45,20,36.25,1986
Wheat,Rangpur,185790,165345,14.75,1986
Wheat,Sylhet,20235,11495,28.75,1986
Wheat,Tangail,66030,47125,34.48,1986
Wheat,Bandarban,5,5,14.35,1987
Wheat,Barisal,18215,13840,11,1987
Wheat,Bogra,58635,44360,6.25,1987
Wheat,Chittagonj,135,80,22.25,1987
Wheat,Comilla,184000,122310,17.75,1987
Wheat,Dhaka,91910,64080,11,1987
Wheat,Dinajpur,142585,95525,11.5,1987
Wheat,Faridpur,120880,74490,11.25,1987
Wheat,Jamalpur,52540,37340,14.35,1987
Wheat,Jessore,110190,104505,4,1987
Wheat,Khagrachari,70,35,14.35,1987
Wheat,Khulna,8130,6835,15,1987
Wheat,Kishoregonj,28285,19350,14.35,1987
Wheat,Kustia,113375,97410,14.35,1987
Wheat,Mymensingh,29425,19890,5.25,1987
Wheat,Noakhali,3455,2010,14.75,1987
Wheat,Pabna,122160,71130,14.35,1987
Wheat,Patuakhali,350,210,26.5,1987
Wheat,Rajshahi,128065,93210,3.25,1987
Wheat,Rangamati,10,5,38.25,1987
Wheat,Rangpur,186775,131130,6.5,1987
Wheat,Sylhet,16360,10525,21.5,1987
Wheat,Tangail,60735,39740,18,1987
Wheat,Bandarban,0,0,33.35,1988
Wheat,Barisal,12750,8950,33.75,1988
Wheat,Bogra,49840,39175,30.5,1988
Wheat,Chittagonj,0,0,21,1988
Wheat,Comilla,161055,112590,19,1988
Wheat,Dhaka,75720,51550,50,1988
Wheat,Dinajpur,149710,110010,6,1988
Wheat,Faridpur,119490,82420,48,1988
Wheat,Jamalpur,47280,36850,33.35,1988
Wheat,Jessore,110000,91245,31.75,1988
Wheat,Khagrachari,0,0,33.35,1988
Wheat,Khulna,8620,7330,47.5,1988
Wheat,Kishoregonj,27720,21470,33.35,1988
Wheat,Kustia,107700,96195,33.35,1988
Wheat,Mymensingh,27950,20705,44.5,1988
Wheat,Noakhali,2070,1250,29.75,1988
Wheat,Pabna,128270,73295,33.35,1988
Wheat,Patuakhali,330,215,46.5,1988
Wheat,Rajshahi,115260,87160,14.5,1988
Wheat,Rangamati,0,0,13.75,1988
Wheat,Rangpur,173105,133315,17.25,1988
Wheat,Sylhet,15540,11195,57.75,1988
Wheat,Tangail,51620,37030,55.5,1988
Wheat,Bandarban,0,0,7.08,1989
Wheat,Barisal,16830,8670,3.5,1989
Wheat,Bogra,50110,38560,5,1989
Wheat,Chittagonj,40,30,4,1989
Wheat,Comilla,156300,86850,4.5,1989
Wheat,Dhaka,79510,48360,11,1989
Wheat,Dinajpur,187310,134440,8,1989
Wheat,Faridpur,121380,57000,3.5,1989
Wheat,Jamalpur,53150,33650,7.08,1989
Wheat,Jessore,113280,66250,3,1989
Wheat,Khagrachari,0,0,7.08,1989
Wheat,Khulna,9080,6460,2.25,1989
Wheat,Kishoregonj,26070,16800,7.08,1989
Wheat,Kustia,114160,67530,7.08,1989
Wheat,Mymensingh,29680,18960,7.08,1989
Wheat,Noakhali,3850,1890,6.25,1989
Wheat,Pabna,148260,68780,7.08,1989
Wheat,Patuakhali,290,120,0.75,1989
Wheat,Rajshahi,119770,78540,5,1989
