Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,,Year
Wheat,10,40270,33130,15.88,27.55,1997
Wheat,11,143020,134260,15.88,26.72,1997
Wheat,12,33450,25100,11.25,28.1,1997
Wheat,13,1810,1240,10.75,29.45,1997
Wheat,14,253420,227880,15.88,27.03,1997
Wheat,15,2,1,13.5,27.77,1997
Wheat,16,200800,183640,27.25,27.22,1997
Wheat,24,16,10,12.25,26.45,1997
Wheat,17,228340,215210,15.5,28.07,1997
Wheat,18,5070,3620,17.25,27.72,1997
Wheat,19,71120,56920,16.75,27.2,1997
Wheat,22,0,0,37.64,27.15,1998
Wheat,20,27420,17750,118,26.78,1998
Wheat,1,57420,54030,8.25,27.08,1998
Wheat,2,370,230,58.25,26.9,1998
Wheat,4,149290,126000,49.75,27.78,1998
Wheat,5,105630,88080,34,26.15,1998
Wheat,6,345170,316180,4.75,27.28,1998
Wheat,7,153260,123860,41.5,27.45,1998
Wheat,21,93630,80170,37.64,26.42,1998
Wheat,8,164060,152240,47,27.17,1998
Wheat,23,10,5,37.64,27.05,1998
Wheat,9,9390,8410,70.5,27.12,1998
Wheat,10,46570,37320,37.64,27.2,1998
Wheat,11,148720,140500,37.64,27.98,1998
Wheat,12,35630,26270,12.75,27.12,1998
Wheat,13,3100,2140,62.25,27.7,1998
Wheat,14,260820,230150,37.64,26.48,1998
Wheat,15,60,40,50.75,27.17,1998
Wheat,16,217610,187070,13.5,27.35,1998
Wheat,24,20,20,29.75,28.12,1998
Wheat,17,273260,249900,3,26.03,1998
Wheat,18,5600,4030,16,27.23,1998
Wheat,19,82600,64040,20,27.48,1998
Wheat,22,0,0,7.6,26.53,1999
Wheat,20,27840,19220,0.75,25.58,1999
Wheat,1,57500,56490,7.6,26.55,1999
Wheat,2,200,90,27.25,27.77,1999
Wheat,4,121970,99860,10.75,26.13,1999
Wheat,5,102700,82530,3.25,26.53,1999
Wheat,6,364160,351820,1.25,25.68,1999
Wheat,7,151430,118930,1,25.8,1999
Wheat,21,84170,66960,7.6,26.43,1999
Wheat,8,148520,136810,7.6,26.75,1999
Wheat,23,30,10,7.6,26.95,1999
Wheat,9,5690,5360,3.5,27.25,1999
Wheat,10,41480,32030,7.6,26.58,1999
Wheat,11,110890,108810,7.6,27.12,1999
Wheat,12,31090,22610,0.25,27.23,1999
Wheat,13,4000,1820,22.25,27.57,1999
Wheat,14,240260,219350,7.6,25.95,1999
Wheat,15,20,10,3.25,27.92,1999
Wheat,16,241260,227570,0.25,27.22,1999
Wheat,24,10,10,29.5,25.92,1999
Wheat,17,240870,229260,2,26.97,1999
Wheat,18,4470,3640,0,26.75,1999
Wheat,19,78390,56790,8.75,26.97,1999
Wheat,22,0,0,14.16,26.45,2000
Wheat,20,27910,20720,11.25,27.53,2000
Wheat,1,43480,39000,13.75,27.72,2000
Wheat,2,150,60,8,27.9,2000
Wheat,4,116260,88750,25,27.12,2000
Wheat,5,92760,72300,14.25,27.02,2000
Wheat,6,344930,324590,7.5,27.3,2000
Wheat,7,136290,97470,18.5,28.2,2000
Wheat,21,75750,66450,14.16,26.05,2000
Wheat,8,133170,121840,5,27.5,2000
Wheat,23,30,10,14.16,27.13,2000
Wheat,9,5220,4460,5,26.53,2000
Wheat,10,33260,23860,14.16,25.65,2000
Wheat,11,125190,120000,14.16,26.2,2000
Wheat,12,27900,18830,9.5,28.07,2000
Wheat,13,2290,970,26,25.7,2000
Wheat,14,216230,191530,14.16,26.68,2000
Wheat,15,0,0,32.25,25.57,2000
Wheat,16,226520,211810,12.75,25.72,2000
Wheat,24,10,10,21.75,26.28,2000
Wheat,17,226420,217970,4,27.7,2000
Wheat,18,5070,4000,12.75,28.77,2000
Wheat,19,70450,48650,13.5,28.52,2000
Wheat,22,0,0,15.41,28.05,2001
Wheat,20,17150,11540,21,28.73,2001
Wheat,1,50490,45760,2,28.28,2001
Wheat,2,140,50,23.25,29.67,2001
Wheat,4,110120,78880,21.25,28.02,2001
Wheat,5,97730,75290,4.75,28.87,2001
Wheat,6,353560,337190,13.25,29.28,2001
Wheat,7,130860,93300,11.5,27.23,2001
Wheat,21,79960,63190,15.41,28.88,2001
Wheat,8,122840,113990,3.5,28.23,2001
Wheat,23,20,10,15.41,28.37,2001
Wheat,9,5460,4760,23.75,29.2,2001
Wheat,10,22210,16790,15.41,29.72,2001
Wheat,11,112420,104400,15.41,28.82,2001
Wheat,12,19560,14240,5.5,29.45,2001
Wheat,13,2140,960,15,28.03,2001
Wheat,14,208240,187330,15.41,28.45,2001
Wheat,15,0,0,26.25,29.05,2001
Wheat,16,218820,205510,0.25,29.78,2001
Wheat,24,0,0,27.25,27.38,2001
Wheat,17,210460,201500,2,28.95,2001
Wheat,18,8940,7620,49.5,29.33,2001
Wheat,19,61990,43450,12,28.77,2001
Wheat,22,0,0,23.04,26.62,2002
Wheat,20,15510,11500,27.75,28.27,2002
Wheat,1,45850,41620,7,29.15,2002
Wheat,2,140,50,34.75,27.02,2002
Wheat,4,118100,86620,28,28.3,2002
Wheat,5,82130,62080,15.5,27.78,2002
Wheat,6,343620,317450,8,27.23,2002
Wheat,7,104190,73700,37.25,28.25,2002
Wheat,21,76770,64130,23.04,28.05,2002
Wheat,8,115180,109500,32.5,27.7,2002
Wheat,23,0,0,23.04,27.53,2002
Wheat,9,5700,4890,46,26.58,2002
Wheat,10,25480,19460,23.04,27.47,2002
Wheat,11,106240,84670,23.04,27.12,2002
Wheat,12,19640,14710,23.25,28.37,2002
Wheat,13,2550,1600,22.25,26.87,2002
Wheat,14,202190,181130,23.04,26.92,2002
Wheat,15,0,0,6.25,27.38,2002
Wheat,16,212510,199100,7,25.77,2002
Wheat,24,0,0,27.5,27.55,2002
Wheat,17,196650,183880,5.25,26.98,2002
Wheat,18,8640,6980,37.5,26.92,2002
Wheat,19,64660,43640,26,27.53,2002
Wheat,25,204,172,12.23,28.63,2003
Wheat,26,0,0,12.23,28,2003
Wheat,27,0,0,12.23,28.38,2003
Wheat,20,2054,1522,8,27.58,2003
Wheat,28,10130,7490,8,27.45,2003
Wheat,29,7984,5897,8.5,27.85,2003
Wheat,1,17413,14884,17.5,28.85,2003
Wheat,30,36680,30750,17.5,26.1,2003
Wheat,31,25395,16902,12.23,28.23,2003
Wheat,32,22314,19327,9.75,27.48,2003
Wheat,2,130,90,12.23,26.67,2003
Wheat,33,130,90,12.23,25.53,2003
Wheat,34,25525,21716,12.23,27.23,2003
Wheat,4,40861,30951,26,27.97,2003
Wheat,35,88570,67180,12.23,25.82,2003
Wheat,36,0,0,1.75,27,2003
Wheat,5,8367,5935,17.5,25.82,2003
Wheat,37,65700,47230,17.5,25.28,2003
Wheat,6,138007,99212,19,26.77,2003
Wheat,38,327170,216280,19,27.02,2003
Wheat,7,36004,29210,34.75,27.8,2003
Wheat,39,93770,69480,34.75,27.87,2003
Wheat,40,74,61,15.5,27.28,2003
Wheat,41,22752,18743,12.23,27.77,2003
Wheat,42,2752,1944,12.23,27.65,2003
Wheat,43,7206,4714,12.23,28.35,2003
Wheat,44,3565,2951,12.23,27.22,2003
Wheat,45,41,31,12.23,27.55,2003
Wheat,21,47503,39390,12.23,28.12,2003
Wheat,230,69090,57790,12.23,26.93,2003
Wheat,8,30020,29845,7.5,27.95,2003
Wheat,46,97900,88000,12.23,27.73,2003
Wheat,47,35283,30761,12.23,27.55,2003
Wheat,48,19267,15866,12.23,27.77,2003
Wheat,49,0,0,12.23,28.47,2003
Wheat,9,398,349,5.5,28.53,2003
Wheat,50,4810,4360,12.23,28.72,2003
Wheat,10,15842,11973,12.23,28.43,2003
Wheat,51,20380,15240,12.23,27.87,2003
Wheat,52,47071,34074,12.23,28.07,2003
Wheat,11,45739,39257,12.23,29.18,2003
Wheat,53,102360,89330,12.23,26.55,2003
Wheat,54,351,251,12.23,28.6,2003
Wheat,55,20664,15674,12.23,27.97,2003
Wheat,56,7258,4748,8.25,27.93,2003
Wheat,57,24814,19962,12.23,26.17,2003
Wheat,58,34131,25370,12.23,28.1,2003
Wheat,59,496,447,12.23,28.4,2003
Wheat,60,31096,28357,12.23,26.47,2003
Wheat,61,3086,2303,12.23,27.75,2003
Wheat,62,0,0,9.25,26.12,2003
Wheat,63,7783,7432,12.23,26.57,2003
Wheat,64,13425,8659,12.23,27.12,2003
Wheat,65,3939,3019,12.23,27.47,2003
Wheat,66,58987,62604,12.23,27.42,2003
Wheat,67,23794,23409,12.23,27.53,2003
Wheat,68,4538,3267,12.23,26.6,2003
Wheat,69,33517,22930,12.23,27.32,2003
Wheat,70,49147,42124,12.23,27.43,2003
Wheat,13,55,38,15.5,28.07,2003
Wheat,71,480,350,15.5,26.65,2003
Wheat,14,136249,116625,12.23,27.38,2003
Wheat,135,210460,171970,12.23,27.1,2003
Wheat,72,58986,37853,12.23,26.08,2003
Wheat,15,0,0,1.5,27.47,2003
Wheat,137,0,0,1.5,26.77,2003
Wheat,73,51,40,12.23,26.95,2003
Wheat,74,29370,20607,12.23,27.43,2003
Wheat,16,66562,66353,6.75,28.45,2003
Wheat,138,198490,194490,6.75,28.07,2003
Wheat,235,10,10,12.23,28.58,2003
Wheat,17,52976,47639,13.75,28.05,2003
Wheat,139,176980,139060,13.75,27.23,2003
Wheat,75,4208,3839,6.25,27.72,2003
Wheat,76,13932,10201,12.23,28.97,2003
Wheat,77,21587,18400,12.23,25.63,2003
Wheat,78,74211,55345,12.23,28.02,2003
Wheat,79,1472,1151,12.23,27.47,2003
Wheat,18,947,801,1.75,27.07,2003
Wheat,146,6480,5350,1.75,25.45,2003
Wheat,150,58190,37140,9,26.97,2003
Wheat,80,130177,79215,12.23,28.82,2003
Wheat,25,186,106,1.34,25.6,2004
Wheat,26,0,0,1.34,26.82,2004
Wheat,27,0,0,1.34,25.42,2004
Wheat,20,2178,1389,0,25.72,2004
Wheat,28,9903,5558,0,26.67,2004
Wheat,29,7620,4110,0.25,27.45,2004
Wheat,1,14884,12813,0,28.05,2004
Wheat,30,30750,24931,0,27.82,2004
Wheat,31,22184,14615,1.34,26.82,2004
Wheat,32,19401,11145,1.34,27.78,2004
Wheat,2,85,38,1.34,27.75,2004
Wheat,33,85,38,1.34,28.53,2004
Wheat,34,28062,19525,1.34,27.62,2004
Wheat,4,36005,24312,1.25,28.22,2004
Wheat,35,77590,50072,1.25,27.65,2004
Wheat,36,0,0,0,25.72,2004
Wheat,5,6549,4642,0,28.07,2004
Wheat,37,49204,32143,0,27.6,2004
Wheat,6,99212,105598,2.5,27.37,2004
Wheat,38,216280,276972,2.5,27.85,2004
Wheat,7,39927,23801,1.25,28.68,2004
Wheat,39,103650,64992,1.25,28.07,2004
Wheat,40,61,52,0,28.9,2004
Wheat,41,18743,19920,1.34,27.65,2004
Wheat,42,1956,1572,1.34,27.67,2004
Wheat,43,7284,5008,1.34,28.12,2004
Wheat,44,2693,2115,1.34,28.97,2004
Wheat,45,45,26,1.34,25.92,2004
Wheat,21,33807,24040,1.34,28.27,2004
Wheat,230,54307,40500,1.34,28.08,2004
Wheat,8,22835,15496,0.75,27.62,2004
Wheat,46,75599,46582,0.75,25.45,2004
Wheat,47,24811,14022,1.34,27.1,2004
Wheat,48,15866,12118,1.34,28.8,2004
Wheat,49,0,0,1.34,25.53,2004
Wheat,9,317,245,0,26.98,2004
Wheat,50,5128,3990,0,25.88,2004
Wheat,10,11494,7161,0,26.1,2004
Wheat,51,15871,9692,0,27.08,2004
Wheat,52,34074,37765,1.34,27.67,2004
Wheat,11,45441,25155,1.34,28.57,2004
Wheat,53,94797,53781,1.34,28.12,2004
Wheat,54,382,199,1.34,27.98,2004
Wheat,55,15674,17930,1.34,28.37,2004
Wheat,56,6864,4627,3,28.05,2004
Wheat,57,22160,13053,1.34,29.68,2004
Wheat,58,24858,13454,1.34,27.47,2004
Wheat,59,398,302,1.34,28.47,2004
Wheat,60,21294,9101,1.34,28.85,2004
Wheat,61,2112,1786,1.34,26.5,2004
Wheat,62,0,0,6.5,28.78,2004
Wheat,63,5793,4011,1.34,27.37,2004
Wheat,64,10298,7984,1.34,27.57,2004
Wheat,65,3431,2705,1.34,29.02,2004
Wheat,66,62604,61048,1.34,28.98,2004
Wheat,67,23409,23096,1.34,28.6,2004
Wheat,68,4377,2531,1.34,29.28,2004
Wheat,69,22930,23895,1.34,27.83,2004
Wheat,70,42124,50660,1.34,28.28,2004
Wheat,13,85,44,0,28.95,2004
Wheat,71,528,295,0,29.5,2004
Wheat,14,116625,127618,1.34,27.1,2004
Wheat,135,171970,196353,1.34,28.63,2004
Wheat,72,37853,49332,1.34,29.18,2004
Wheat,15,0,0,0.25,28.08,2004
Wheat,137,0,0,0.25,26.1,2004
Wheat,73,60,33,1.34,27.7,2004
Wheat,74,33080,18608,1.34,29.43,2004
Wheat,16,66353,55419,2.5,26.28,2004
Wheat,138,194490,190223,2.5,27.77,2004
Wheat,235,10,7,0,26.77,2004
Wheat,17,47639,44456,3,26.7,2004
Wheat,139,139060,143966,3,28.28,2004
Wheat,75,4625,3639,0,27.73,2004
Wheat,76,16495,12948,1.34,28.82,2004
Wheat,77,20500,16460,1.34,28.53,2004
Wheat,78,55345,68735,1.34,27.28,2004
Wheat,79,2560,1661,1.34,28.42,2004
Wheat,18,579,441,6.5,28.2,2004
Wheat,146,6230,4519,6.5,29.52,2004
Wheat,150,37464,19536,2.5,27.4,2004
Wheat,80,79215,122042,1.34,28.78,2004
Wheat,25,152,67,8.53,28.42,2005
Wheat,26,0,0,8.53,26.33,2005
Wheat,27,0,0,8.53,28.77,2005
Wheat,20,1230,776,3.5,27.3,2005
Wheat,28,7442,4022,3.5,27.8,2005
Wheat,29,6212,3246,3.75,28.58,2005
Wheat,1,7414,5089,3.75,29.4,2005
Wheat,30,16096,11324,3.75,28.92,2005
Wheat,31,28180,13769,8.53,29.3,2005
Wheat,32,14398,6976,2.25,28.03,2005
Wheat,2,59,19,8.53,28.62,2005
Wheat,33,59,19,8.53,28.7,2005
Wheat,34,17439,12980,8.53,29.68,2005
Wheat,4,29484,14692,2.25,26.17,2005
Wheat,35,72062,35437,2.25,28.78,2005
Wheat,36,0,0,13.5,28.57,2005
Wheat,5,3221,1921,1.75,27.62,2005
Wheat,37,36170,20552,1.75,25.78,2005
Wheat,6,86966,54179,6,27.45,2005
Wheat,38,251198,147945,6,29.67,2005
Wheat,7,40927,23053,4,26.07,2005
Wheat,39,107901,62777,4,27.73,2005
Wheat,40,58,46,8.25,26.13,2005
Wheat,41,14180,6203,8.53,25.75,2005
Wheat,42,1835,1218,8.53,27.75,2005
Wheat,43,7688,4643,8.53,28.22,2005
Wheat,44,1090,744,8.53,28.57,2005
Wheat,45,0,0,8.53,28.38,2005
Wheat,21,17462,9340,8.53,27.43,2005
Wheat,230,30730,18398,8.53,28.3,2005
Wheat,8,18029,14610,12.75,28.52,2005
Wheat,46,71820,51055,12.75,28.92,2005
Wheat,47,24140,16247,8.53,27.63,2005
Wheat,48,8682,6235,8.53,28.7,2005
Wheat,49,0,0,8.53,28.57,2005
Wheat,9,258,164,3.75,26.43,2005
Wheat,50,4299,2866,3.75,28.4,2005
Wheat,10,10530,5283,8.53,27.78,2005
Wheat,51,15008,7209,8.53,28,2005
Wheat,52,39820,20453,8.53,28.18,2005
Wheat,11,40448,23795,8.53,29.08,2005
Wheat,53,84099,60296,8.53,28.77,2005
Wheat,54,370,140,8.53,29.1,2005
Wheat,55,12170,6242,8.53,28.1,2005
Wheat,56,8710,5351,91.5,28.48,2005
Wheat,57,24502,17121,8.53,28.42,2005
Wheat,58,19161,9856,8.53,29.7,2005
Wheat,59,356,160,8.53,26.62,2005
Wheat,60,26212,23521,8.53,28.75,2005
Wheat,61,1890,1468,8.53,28.28,2005
Wheat,62,0,0,7.5,28.28,2005
Wheat,63,5149,3077,8.53,26.07,2005
Wheat,64,7622,3985,8.53,27.8,2005
Wheat,65,3341,2104,8.53,29.03,2005
Wheat,66,56523,35678,8.53,26.25,2005
Wheat,67,16802,13999,8.53,28.12,2005
Wheat,68,4478,1926,8.53,26.85,2005
Wheat,69,28368,14020,8.53,26.9,2005
Wheat,70,43309,29147,8.53,27.63,2005
Wheat,13,54,15,8.53,27.83,2005
Wheat,71,482,201,8.53,27.87,2005
Wheat,14,113830,85999,8.53,27.7,2005
Wheat,135,129231,95927,8.53,27.52,2005
Wheat,72,44828,25752,8.53,28.03,2005
Wheat,15,0,0,7.25,27.77,2005
Wheat,137,0,0,7.25,28.08,2005
Wheat,73,0,0,8.53,26.92,2005
Wheat,74,35896,20206,8.53,27.73,2005
Wheat,16,67046,48952,3.75,28.2,2005
Wheat,138,183680,127776,3.75,26.72,2005
Wheat,235,10,6,15.5,27.92,2005
Wheat,17,29720,18194,5,27.03,2005
Wheat,139,124258,65112,5,27.18,2005
,,,,,28.1,
Wheat,75,3889,2635,4,28.63,2005
Wheat,76,14680,9524,8.53,28.28,2005
Wheat,77,13268,9058,8.53,28.58,2005
Wheat,78,15401,9928,8.53,27.08,2005
Wheat,79,2456,1258,8.53,27.75,2005
Wheat,18,350,211,12,27.92,2005
Wheat,146,4252,2373,12,28.78,2005
Wheat,150,31962,15784,4,26.27,2005
Wheat,80,119404,68014,8.53,28.17,2005
Wheat,25,190,131,2.77,28.05,2006
Wheat,26,0,0,2.77,27.12,2006
Wheat,27,0,0,2.77,26.27,2006
Wheat,20,1340,861,0.5,27,2006
Wheat,28,9195,5833,0.5,28.77,2006
Wheat,29,7840,4966,0,26.4,2006
Wheat,1,3115,2173,0.25,27.25,2006
Wheat,30,9015,6569,0.25,25.95,2006
Wheat,31,18695,10147,2.77,26.13,2006
Wheat,32,11615,7860,0,27.35,2006
Wheat,2,20,7,2.77,27.28,2006
Wheat,33,20,7,2.77,28.73,2006
Wheat,34,15780,13442,2.77,28.37,2006
Wheat,4,17480,10681,0.25,27.92,2006
Wheat,35,47790,28688,0.25,28.57,2006
Wheat,36,0,0,2.5,27.55,2006
Wheat,5,1990,1126,1.25,28.65,2006
Wheat,37,23770,15429,1.25,27.53,2006
Wheat,6,56495,37579,7.75,28.43,2006
Wheat,38,192415,161105,7.75,28.72,2006
Wheat,7,44275,30012,0.25,26.67,2006
Wheat,39,107755,69729,0.25,28.67,2006
Wheat,40,120,88,0,27.82,2006
Wheat,41,11555,7332,2.77,27.8,2006
Wheat,42,1060,736,2.77,28.67,2006
Wheat,43,7440,4743,2.77,29.02,2006
Wheat,44,1150,819,2.77,28.72,2006
Wheat,45,5,2,2.77,29.23,2006
Wheat,21,13425,7562,2.77,27.82,2006
Wheat,230,21175,13084,2.77,28.58,2006
Wheat,8,14800,13673,3.25,28.72,2006
Wheat,46,64530,51106,3.25,29.52,2006
Wheat,47,23425,17759,2.77,27.03,2006
Wheat,48,5900,4396,2.77,28.92,2006
Wheat,49,0,0,2.77,28.72,2006
Wheat,9,300,194,0.25,28.42,2006
Wheat,50,4220,2853,0.25,26.25,2006
Wheat,10,7610,4417,2.77,27.58,2006
Wheat,51,11040,6686,2.77,29.08,2006
Wheat,52,33325,23995,2.77,26.3,2006
Wheat,11,35125,24597,2.77,27.85,2006
Wheat,53,72015,56241,2.77,26.97,2006
Wheat,54,355,262,2.77,26.78,2006
Wheat,55,5430,3586,2.77,27.87,2006
Wheat,56,8830,5478,0.25,27.32,2006
Wheat,57,21350,16154,2.77,28.95,2006
Wheat,58,9780,5556,2.77,28.68,2006
Wheat,59,260,191,2.77,27.7,2006
Wheat,60,21110,18202,2.77,28.75,2006
Wheat,61,1620,1169,2.77,28.02,2006
Wheat,62,0,0,0,29.1,2006
Wheat,63,4955,3520,2.77,28.07,2006
Wheat,64,6650,4962,2.77,28.78,2006
Wheat,65,2670,1880,2.77,29.33,2006
Wheat,66,56575,48297,2.77,26.5,2006
Wheat,67,17375,15228,2.77,29.02,2006
Wheat,68,3430,2269,2.77,28.08,2006
Wheat,69,23530,16749,2.77,28.25,2006
Wheat,70,39850,27325,2.77,28.65,2006
Wheat,13,65,38,0,29.58,2006
Wheat,71,540,388,0,29.17,2006
Wheat,14,105185,80018,2.77,29.67,2006
Wheat,135,115510,86986,2.77,28.18,2006
Wheat,72,27340,20053,2.77,28.95,2006
Wheat,15,0,0,0.75,28.78,2006
Wheat,137,0,0,0.75,29.78,2006
Wheat,73,10,4,2.77,27.12,2006
Wheat,74,35720,20867,2.77,29.27,2006
Wheat,16,62965,48464,2.5,28.67,2006
Wheat,138,176765,139314,2.5,28.65,2006
Wheat,235,10,6,4.75,26.28,2006
Wheat,17,24095,17331,8.5,28.22,2006
Wheat,139,97935,68993,8.5,29.22,2006
Wheat,75,3730,2528,0,26.43,2006
Wheat,76,11490,8629,2.77,28.52,2006
Wheat,77,7750,5522,2.77,26.78,2006
Wheat,78,10325,6968,2.77,27.22,2006
Wheat,79,385,243,2.77,28.1,2006
Wheat,18,355,174,19.25,28.05,2006
Wheat,146,2150,1427,19.25,29.72,2006
Wheat,150,21890,16048,0,29.22,2006
Wheat,80,108580,103473,2.77,28.82,2006
Wheat,25,225,165,34.27,29.47,2007
Wheat,26,0,0,34.27,28.23,2007
Wheat,27,40,32,34.27,30.18,2007
Wheat,20,1715,1290,41.75,28.45,2007
Wheat,28,9240,7158,41.75,29.4,2007
Wheat,29,7490,5846,44.75,29.92,2007
Wheat,1,3015,2458,8.25,27.73,2007
Wheat,30,7815,6131,8.25,29.8,2007
Wheat,31,21970,12326,34.27,28.38,2007
Wheat,32,10265,7169,41.5,28.85,2007
Wheat,2,30,14,34.27,30.05,2007
Wheat,33,30,14,34.27,30.45,2007
Wheat,34,12820,11762,34.27,29.63,2007
Wheat,4,11230,7340,25.5,30.4,2007
Wheat,35,43465,26835,25.5,28.8,2007
Wheat,36,0,0,48,29.47,2007
Wheat,5,1895,1129,35.25,29.57,2007
Wheat,37,21025,15778,35.25,30.68,2007
Wheat,6,49550,42984,7.5,27.53,2007
Wheat,38,207635,203779,7.5,29.93,2007
Wheat,7,57210,47600,38.25,30.17,2007
Wheat,39,132220,103416,38.25,28.48,2007
Wheat,40,175,126,37,26.97,2007
Wheat,41,7755,5989,34.27,28.63,2007
Wheat,42,630,479,34.27,30.4,2007
Wheat,43,9385,7938,34.27,27.38,2007
Wheat,44,1405,1170,34.27,28.7,2007
Wheat,45,30,20,34.27,27.78,2007
Wheat,21,13775,9821,34.27,26.67,2007
Wheat,230,21075,16342,34.27,29.05,2007
Wheat,8,13940,13362,44.75,28.63,2007
Wheat,46,61400,52091,44.75,27.97,2007
Wheat,47,19665,15107,34.27,27.63,2007
Wheat,48,4800,3673,34.27,27.3,2007
Wheat,49,0,0,34.27,27.73,2007
Wheat,9,335,244,41.75,27,2007
Wheat,50,4720,3723,41.75,28,2007
Wheat,10,11160,7298,34.27,27.05,2007
Wheat,51,14585,9877,34.27,27.9,2007
Wheat,52,29545,25619,34.27,28.05,2007
Wheat,11,33145,31759,34.27,26.22,2007
Wheat,53,64605,64624,34.27,27.72,2007
Wheat,54,310,234,34.27,27.17,2007
Wheat,55,6195,5182,34.27,27.43,2007
Wheat,56,10350,7812,46,27.72,2007
Wheat,57,21645,18292,34.27,28.43,2007
Wheat,58,9035,6870,34.27,28.02,2007
Wheat,59,2,1,34.27,28.62,2007
Wheat,60,18640,21103,34.27,27.23,2007
Wheat,61,1015,642,34.27,27.82,2007
Wheat,62,0,0,30.5,27.68,2007
Wheat,63,6150,5330,34.27,28.83,2007
Wheat,64,5425,4585,34.27,26.45,2007
Wheat,65,3025,2073,34.27,28.48,2007
Wheat,66,44630,48695,34.27,27.98,2007
Wheat,67,34675,37354,34.27,27.43,2007
Wheat,68,3425,2579,34.27,26,2007
Wheat,69,21825,18794,34.27,27.28,2007
Wheat,70,28165,24727,34.27,28.43,2007
Wheat,13,60,50,34.27,26.17,2007
Wheat,71,545,410,34.27,27.27,2007
Wheat,14,75300,65912,34.27,26.28,2007
Wheat,135,84360,73629,34.27,26.85,2007
Wheat,72,35445,28816,34.27,27.3,2007
Wheat,15,5,2,71,26.93,2007
Wheat,137,45,34,71,27.97,2007
Wheat,73,5,2,34.27,27.63,2007
Wheat,74,42785,30392,34.27,27.3,2007
Wheat,16,65545,59013,7,27.73,2007
Wheat,138,173015,169789,7,27,2007
Wheat,235,60,40,34.75,28,2007
Wheat,17,10510,9400,14.75,27.05,2007
Wheat,139,75830,64984,14.75,27.9,2007
Wheat,75,4160,3314,53.75,28.05,2007
Wheat,76,12490,9674,34.27,26.22,2007
Wheat,77,7300,6521,34.27,27.72,2007
Wheat,78,9060,7717,34.27,27.17,2007
Wheat,79,400,309,34.27,27.43,2007
Wheat,18,540,423,44.5,27.72,2007
Wheat,146,2347,1903,44.5,28.43,2007
Wheat,150,24450,17477,34.25,28.02,2007
Wheat,80,122640,131979,34.27,28.62,2007
